NINA SIMONE;;;;;
SAAT;PAZARTESI;SALI;CARSAMBA;PERSEMBE;CUMA
08.00 - 09.00;ders;ofis saati;ofis saati;free;free
09.00 - 10.00;ders;ofis saati;ofis saati;free;free
10.00 - 11.00;ders;ofis saati;ofis saati;free;free
11.00 - 12.00;lab;ofis saati;free;free;free
12.00 - 13.00;lab;free;free;free;doktora ders
13.00 - 14.00;lab;ofis saati;free;free;doktora ders
14.00 - 15.00;free;ofis saati;free;free;ders
15.00 - 16.00;free;free;free;ofis saati;ders
16.00 - 17.00;free;free;lab;ofis saati;doktora ders
17.00 - 18.00;free;free;lab;lab;doktora ders
18.00 - 19.00;free;free;lab;lab;doktora ders
lab;8;;;;
ders yard;5;;;;
diger;16;;;;